ACTIE,TYPE,TAFEL,DATUM,MEDEWERKER,DEBIT,CREDIT,AANTAL,BTW,BOEK,PRODUCT,TRANSACTIE,BESTELID,DATEEE,AFGEREKEND
item,toegevoegd,Tafel Bar Indoor,2025/02/27 19:06:58,Manager,39.00,,2,9,8010,Pasta 19.50,,6pE67kpD2So6tWNwz4HKy,27-02-2025,verkoop
item,gecorrigeerd,Tafel Bar Indoor,2025/02/27 20:08:04,Manager,-3.00,,-1,9,8010,Can,,6pE67kpD2So6tWNwz4HKy,27-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/27 20:08:04,Manager,14.00,,2,9,8010,Torta 7,,6pE67kpD2So6tWNwz4HKy,27-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/27 20:08:04,Manager,2.30,,1,9,8010,Coffee/Espresso,,6pE67kpD2So6tWNwz4HKy,27-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/27 20:08:04,Manager,4.00,,1,9,8010,Crodino,,6pE67kpD2So6tWNwz4HKy,27-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/27 20:08:04,Manager,4.00,,1,9,8010,Chinotto,,6pE67kpD2So6tWNwz4HKy,27-02-2025,verkoop
transactie,,Tafel Bar Indoor,2025/02/27 20:39:38,Manager,,85.40,,,,,PIN,6pE67kpD2So6tWNwz4HKy,27-02-2025,
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/27 19:07:42,Manager,14.00,,2,21,8011,Glass Rosso Dolomiti,,ZmD5icLHvBu7yXdaYXCzGN,27-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/27 19:07:42,Manager,36.00,,2,9,8010,PASTA 18,,ZmD5icLHvBu7yXdaYXCzGN,27-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/27 19:23:26,Manager,7.00,,1,9,8010,Torta 7,,ZmD5icLHvBu7yXdaYXCzGN,27-02-2025,verkoop
transactie,,Tafel Panca 1 Indoor,2025/02/27 19:44:55,Manager,,57.00,,,,,PIN,ZmD5icLHvBu7yXdaYXCzGN,27-02-2025,
item,toegevoegd,Tafel Vetrina Indoor,2025/02/27 19:12:32,Manager,29.50,,1,21,8011,bottle GRIGNOLINO,,6grQR3zCbxL6DbNZHGHfkr,27-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/27 19:23:17,Manager,15.50,,1,9,8010,Caprese Bresaola,,6grQR3zCbxL6DbNZHGHfkr,27-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/27 19:23:17,Manager,17.50,,1,9,8010,Pasta 17.50,,6grQR3zCbxL6DbNZHGHfkr,27-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/27 19:23:17,Manager,36.00,,2,9,8010,PASTA 18,,6grQR3zCbxL6DbNZHGHfkr,27-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/27 19:23:17,Manager,18.50,,1,9,8010,PASTA 18.50,,6grQR3zCbxL6DbNZHGHfkr,27-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/27 19:48:44,Manager,14.00,,2,9,8010,Torta 7,,6grQR3zCbxL6DbNZHGHfkr,27-02-2025,verkoop
transactie,,Tafel Vetrina Indoor,2025/02/27 20:06:41,Manager,,131.00,,,,,PIN,6grQR3zCbxL6DbNZHGHfkr,27-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/27 19:50:29,Manager,10.50,,3,9,8010,slice FOCACCIA,,j7YjBpXrMWJPz45j9k3bd,27-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/27 19:51:05,Manager,,10.50,,,,,PIN,j7YjBpXrMWJPz45j9k3bd,27-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/27 20:25:24,Manager,21.00,,3,9,8010,Torta 7,,Ri6Z5fMI8ewxXNzbCOpn6,27-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/27 20:25:52,Manager,,21.00,,,,,PIN,Ri6Z5fMI8ewxXNzbCOpn6,27-02-2025,
item,toegevoegd,Directe verkoop,2025/02/27 20:42:27,Manager,15.50,,1,0,8012,tip,,9OiKZcLQJ8KtB9X2nN3HFI,27-02-2025,verkoop
transactie,,Directe verkoop,2025/02/27 20:42:27,Manager,,15.50,,,,,PIN,9OiKZcLQJ8KtB9X2nN3HFI,27-02-2025,
